BF_Name,BF_Acreage,x2,y2
Hunt Manfacturing,18.38,1428118.11531055,749617.691245228
Scott Aviation,13.265,1534651.59253189,452976.151983559
Carolina Counters,2.64,1574688.31560789,558419.830203399
TFI Finishing Building West,5.34,1632934.86282846,861044.261698723
Avondale Mills,14.05,1019388.87502788,803841.062457055
Atherton Mill Property,9.78,1444165.09699605,536020.080383554
EDACO Junkyard,4.77,937840.250395805,680181.518109977
C. P. Properties,20.97,1941568.35415605,655950.713225231
Stevcoknit Fabrics,54.36,2304772.56606638,357130.790525064
Geltman Corp,2.29,1349465.79197247,717178.984141141
Clinton Rail Disbribution,13.24,2208921.62423848,453519.568219557
Beacon Manufacturing Co,42.27,991100.322025061,690541.089582399
Idaho Timber of NC,17.94,2175711.3927588,932272.078232303
Biller Property,5.16,1765764.6555673,842665.024179056
Town of Swepsonville,22.18,1892386.87017013,827808.708091229
Scott and Roberts Model Laundry,0.39,2029068.44260697,820699.380774483
Grover Mills Development Center,8,1034839.37562288,553372.704142809
"WPDA, Inc - Area 1",56.106,1627700.88379514,870842.895972803
Southside East (RN),19.32,2029207.46693522,813833.1166199
Pifer Industries,2.33,2036232.94205748,811069.548328146
Annedeen Hosiery,3.85,1869038.50741814,856377.103710234
Quality Forest Products (QFP),58.78,2385415.24172297,877399.37203306
Overdale Road,35.44,1634994.83311798,831599.777936891
Wagon Works,10.31,1643851.86625689,846534.501020148
Liberty Fabrics,39.5,2627021.52983488,756567.251821145
Fleming Laboratories-RFRU,1.5,1440526.36083522,545304.207484558
Rental Towel,3.43,2327020.28403805,723208.603971645
77 Center Drive,57.93,1436102.72762214,521450.388066307
Tarheel Textile,1.72,1632724.46233064,858750.766285732
Toomey Avenue,1.73,1440949.84424022,537660.694884479
Coastal Lumber - Weldon,117,2408242.39980872,968789.128229558
Long Manufacturing,6.53,2431124.50824389,788798.060062811
801 Biltmore Avenue,1.71,945984.200315222,680784.226878315
Ecusta Gateway,5.9,893162.396182135,573165.734110475
Grover Industries,14,1267066.88918531,526712.856543973
Chronicle Mill,6.35,1392716.56045763,549534.565821722
"PSNC, Former",2.74,1436455.15112989,742779.500197232
Salvation Army,2.59,2108402.0864328,738033.416841641
Douglas Battery Mfg,21.49,1636953.75111614,842975.141012892
Raleigh Union Station,4.76,2104607.0566213,737855.721987054
ATC Phase II,1.99,2028512.2914883,816894.083595067
Southern Mechanical,7.79,1433282.14205597,559253.367578313
Spectrum Mills II,9.22,1293119.91745973,557118.675325394
Goodyear Service Center,3,1447944.16981848,541077.732669815
Lin Pac,6.69,1719673.24020439,850440.423982561
"Ticar Chemical, Former",3.47,927665.674944475,664099.324880734
One Hour Martinizing,1.64,1449381.26241672,537744.936185807
Bowman Gray Stadium,92.17,1638190.78571555,852185.737421066
West Lewis Street,1.38,1765987.85098705,843803.317506149
REEP-LRC,130,1424556.72118664,508022.088151306
Surrett Drive,13.14,1702607.7208578,795516.697872221
Lenoir Broyhill Site,15.41,1244457.22508714,794204.347150475
Robbins Mill,12.19,1827760.62901606,611943.227093399
Minico II,0.15,944028.604488894,691472.901038975
Perfecting Service Division,4.24,1458960.2376813,552611.372332141
Apollo Chemical,12,1880172.01664713,849446.960418314
US Postal Service (RN),1,2108912.38462481,738448.947178557
Bridgeport Fabrics,1.58,1449910.56713238,643593.349160478
Hamilton Beach II,28.55,2576273.10311672,671621.496844232
Singer Furniture Plant (RN),38,1243463.84682456,789405.005699307
Standard Uniform,5.8,1435848.75667338,530712.635945976
Hyman Young Greenhouse,27.16,920120.831438392,689232.755584896
Zion Avenue (RN),1.79,1447169.49584289,635604.237514064
Allen's Farm Supply,0.29,2318219.51817505,180681.351757973
Transylvania Tanning Co.,12.8,883023.772102475,559809.448159054
Cogentrix,57.8,2001358.71128114,305854.544980645
Carter G. Woodson Charter School,34.61,1635648.29440947,844958.012047142
North Caldwell,0.68,884837.453842551,561420.730369568
"WestPoint Home, Former",1100,1888360.78865539,396400.105687067
City Center Inn (RN),1.71,1451219.45296605,544337.709417567
Thomas & Howard Company,0.84,1633840.38759223,863090.89474456
Quattlebaum Associates,2.87,1482576.61662956,506531.433652312
LRMF,2.52,1444736.55057755,540905.491872564
Cenco,15.04,1430010.35102738,560349.171817139
Raleigh Residence Inn,0.52,2106555.27647814,736313.678483233
Gelco Trailer,7.93,1454463.24503489,548950.276307896
University Blvd,3.54,1475230.68250255,565598.70167239
Dillon Station Redevelopment (RN),2.03,2105119.45421855,738212.35742864
East West Capital,1.44,943255.855050132,687467.234181568
Cooper Bussmann Facility,7.73,2296798.08201538,586367.842548728
Thomasville Furniture Plant H,8,1633577.05216089,860937.690389559
Golden Triangle #10,2.01,1451444.81800088,542265.363824725
Northend Square II,7,1451454.64376864,549046.366666898
Swaim Metals,4.8,1691826.12168613,791399.588652387
Cooper Tools,84.79,1553641.86065364,453990.143393889
Stonewall Street (RN),5.37,1448611.89158013,540348.642920643
Wurst Property (RN),15.99,2049237.71788514,714236.925720811
Thomasville Furniture Plant L,5.92,1679684.8257588,779074.21697773
Biltmore Station,8.99,946951.088801384,680572.182026803
Champion Finishing Co,8.28,933767.882228225,695617.463615984
Nu Thread Tire II,0.91,2029033.76715139,819484.400264814
North Graham Street Property,4.47,1461223.6957528,561329.217429221
DCC Apts (RN),1.92,1444514.1898018,537515.389072731
Thomasville Plant B,11.53,1678470.19104896,775690.690280229
Carolina Beach,0.31,2332690.82519038,110578.882383138
Asheville Foundry Inn,1.01,944932.539360806,689866.949526474
G & B Oil (RN),2.5,1207216.00199756,909620.642236054
Hillsborough Square (RN),1.22,2105164.7897578,739388.796020642
Flynt Fabrics Mill - Parcel B ,9.95,1966387.37997723,845422.490776971
Spencer's Mill,9.48,1526435.61716597,1004990.5906034
Greyhound Bus Terminal,1.2,2317887.44436413,182594.183890313
American Media International ,17,1865760.88011514,841503.208917394
Carpenter Motor Company,4.6,2031177.04468897,815439.529089481
Carolina Sash & Door Co.,1.31,1457448.12981313,540124.066598147
B&H Recyclers (RN),20.12,1643703.52534622,458319.051730812
Love's Grading,4.7,1428875.83492371,566064.953036472
